genes,mod_types,rmgm_id,reference_pubmed1
PBANKA_0514900,disrupted,1,11483501
PBANKA_0515000,disrupted,1,11483501
PBANKA_0514900,disrupted,1,11483501
PBANKA_0515000,disrupted,1,11483501
PBANKA_0522700,disrupted,1,16115694
PBANKA_0403200,disrupted,1,9002517
PBANKA_0915000,disrupted,1,Not published (yet)
PBANKA_0615200,disrupted,1,15137943
PBANKA_1359600,disrupted,1,11163248
PBANKA_0524800,disrupted,1,10984459
PBANKA_0524800,disrupted,1,18761621
PBANKA_0521221,disrupted,1,11292830
PBANKA_0521261,disrupted,1,11292830
PBANKA_0622921,disrupted,1,11292830
PBANKA_0622961,disrupted,1,11292830
PBANKA_0622921,disrupted,1,11292830
PBANKA_1444000,disrupted,1,17158894
PBANKA_0209100,disrupted,1,17418435
PBANKA_0501200,disrupted,1,15699336
PBANKA_1400800,disrupted,1,15580261
PY17X_1402400,disrupted,1,17624848
PY17X_0502200,disrupted,1,17624848
PBANKA_1400800,disrupted,1,17624847
PBANKA_0501200,disrupted,1,17624847
PBANKA_1002200,disrupted,1,16103357
PBANKA_1002200,disrupted,1,16103357
PBANKA_1002100,disrupted,1,22342550
PBANKA_1002200,disrupted,1,22342550
PY17X_1003500,disrupted,1,17517871
PY17X_1003600,disrupted,1,17517871
PBANKA_1002200,disrupted,1,16313615
PBANKA_1002100,disrupted,1,16313615
PBANKA_1432300,disrupted,1,16468982
PBANKA_1349800,disrupted,1,9267031
PBANKA_1349800,mutated,1,11927544
PBANKA_1349800,mutated,1,11927544
PBANKA_1349800,mutated,1,11927544
PBANKA_1349800,mutated,1,11927544
PBANKA_1349800,mutated,1,11927544
PY17X_1354800,disrupted,1,11295181
PBANKA_1349800,mutated,1,12615325
PBANKA_1349800,mutated,1,10579715
PBANKA_1349800,mutated,1,10579715
PBANKA_1349800,mutated,1,10579715
PBANKA_1349800,mutated,1,10508153
PBANKA_0616700,disrupted,1,15935755
PBANKA_0616700,disrupted,1,15970588
PBANKA_0933700,disrupted,1,15935755
PBANKA_0933700,disrupted,1,16313614
PBANKA_0524200,disrupted,1,Not published (yet)
PBANKA_0501100,disrupted,1,Not published (yet)
PBANKA_0933700,disrupted,1,15864297
PBANKA_0403200,mutated,1,16201021
PBANKA_0403200,mutated,1,12244064
PBANKA_0403200,mutated,1,12244064
PBANKA_0403200,mutated,1,12244064
PBANKA_0403200,mutated,1,11927543
PBANKA_0403200,mutated,1,16207248
PBANKA_0403200,mutated,1,15839899
PBANKA_0403200,mutated,1,15839899
PBANKA_0403200,mutated,1,12471098
PBANKA_0509500,disrupted,1,18761621
PBANKA_1338900,disrupted,1,18761621
PBANKA_0204800,disrupted,1,18761621
PBANKA_1434400,disrupted,1,18761621
PBANKA_1222500,disrupted,1,18761621
PBANKA_1228900,disrupted,1,18761621
PBANKA_0619200,disrupted,1,18761621
PBANKA_1113400,disrupted,1,18761621
PBANKA_0209200,disrupted,1,18761621
PBANKA_1421700,disrupted,1,18761621
PBANKA_1129000,disrupted,1,18761621
PBANKA_0701900,disrupted,1,18761621
PBANKA_1353400,disrupted,1,18761621
PBANKA_0409700,disrupted,1,18761621
PBANKA_1315300,disrupted,1,18761621
PBANKA_1143700,disrupted,1,18761621
PBANKA_1217700,disrupted,1,16888139
PBANKA_1233600,disrupted,1,18761621
PBANKA_0304700,disrupted,1,16027235
PBANKA_1327100,disrupted,1,18974882
PBANKA_0209000,disrupted,1,18974882
PBANKA_0934600,disrupted,1,18974882
PBANKA_1034500,disrupted,1,18974882
PBANKA_1123700,disrupted,1,18974882
PBANKA_1309600,disrupted,1,18974882
PBANKA_1006200,disrupted,1,18974882
PBANKA_0712200,disrupted,1,18974882
PBANKA_1035200,disrupted,1,12354219
PBANKA_1035200,disrupted,1,18452513
PBANKA_1035200,mutated,1,18452513
PBANKA_1300700,disrupted,1,17335349
PBANKA_1319500,disrupted,1,17335349
PBANKA_0417600,disrupted,1,17335349
PBANKA_1300700,disrupted,1,18848846
PBANKA_0711600,disrupted,1,17367780
PBANKA_1035200,disrupted,1,18848846
PBANKA_1300700,disrupted,1,18848846
PBANKA_1300700,disrupted,1,18848846
PBANKA_0417600,disrupted,1,18848846
PBANKA_0824200,disrupted,1,15520375
PBANKA_1006300,disrupted,1,15659064
PBANKA_1006300,disrupted,1,18312843
PBANKA_1355600,disrupted,1,14737184
PBANKA_1355600,disrupted,1,18312843
PBANKA_0412900,disrupted,1,10587361
